Data,PIB - preços de mercado - var. real trim. - (%) - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais Trimestrais (IBGE/SCN Trimestral) - SCN104_PIBPMG104,
1996 T1,-0.579872607089527,
1996 T2,1.34719274004242,
1996 T3,5.64721334391309,
1996 T4,2.27448353981137,
1997 T1,3.4005716505271,
1997 T2,4.75400232757572,
1997 T3,1.79127942155843,
1997 T4,3.73851797914948,
1998 T1,1.0075748304919,
1998 T2,1.50965330134984,
1998 T3,0.355599697717213,
1998 T4,-1.43453737975798,
1999 T1,0.767667395252603,
1999 T2,-0.400739156011931,
1999 T3,-0.616233112656706,
1999 T4,2.16763065741936,
2000 T1,4.40070494548177,
2000 T2,3.97840817929707,
2000 T3,4.56458911846962,
2000 T4,4.59751175199694,
2001 T1,3.47509030646911,
2001 T2,2.32605539351369,
2001 T3,0.461195748410326,
2001 T4,-0.531801798849552,
2002 T1,0.476919127350484,
2002 T2,2.29820252952875,
2002 T3,4.17470900555852,
2002 T4,5.17262818870465,
2003 T1,2.66702839236099,
2003 T2,0.781242383947078,
2003 T3,0.626180711421553,
2003 T4,0.58871194596799,
2004 T1,3.87808236245821,
2004 T2,6.30825660164149,
2004 T3,6.55880652516838,
2004 T4,6.20936933941645,
2005 T1,4.18432138078109,
2005 T2,4.47497195940476,
2005 T3,2.11497284884954,
2005 T4,2.15055141271894,
2006 T1,4.27909673251816,
2006 T2,2.28329738121091,
2006 T3,4.4927880437752,
2006 T4,4.79521215426317,
2007 T1,5.19469080677286,
2007 T2,6.53725713958322,
2007 T3,5.87025183432432,
2007 T4,6.63973488887177,
2008 T1,6.15740414980335,
2008 T2,6.33612366568781,
2008 T3,6.98081131034574,
2008 T4,1.02839807508679,
2009 T1,-2.42605321607872,
2009 T2,-2.20298432138031,
2009 T3,-1.16265020297807,
2009 T4,5.32432268212897,
2010 T1,9.20908747164457,
2010 T2,8.51773356916186,
2010 T3,6.90715963762178,
2010 T4,5.68933838375101,
2011 T1,5.19513903925615,
2011 T2,4.70051912353151,
2011 T3,3.53734492271929,
2011 T4,2.56796516738789,
2012 T1,1.70711395256105,
2012 T2,0.986402166528655,
2012 T3,2.48542465118002,
2012 T4,2.48294182360809,
2013 T1,2.72148235359921,
2013 T2,4.02216960423378,
2013 T3,2.75893694386447,
2013 T4,2.52810668796575,
2014 T1,3.46775551734186,
2014 T2,-0.436601529772218,
2014 T3,-0.638720460182218,
2014 T4,-0.225732930418576,
2015 T1,-1.61296063376513,
2015 T2,-2.73495756778197,
2015 T3,-4.26328923976929,
2015 T4,-5.53075813212635,
2016 T1,-5.16375091217928,
2016 T2,-3.24026796364838,
2016 T3,-2.45236863492782,
2016 T4,-2.21443270906763,
2017 T1,0.389595122241349,
2017 T2,0.879416957506574,
2017 T3,1.63473358209818,
2017 T4,2.38166928389718,
2018 T1,1.45471303491975,
2018 T2,1.05300378292326,
2018 T3,1.53708550217557,
2018 T4,1.2228773416,
2019 T1,0.593652828653934,
2019 T2,1.07593480459118,
2019 T3,1.19580984701169,
2019 T4,1.66815895209986,
2020 T1,-0.251193204131861,
